name,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
Meany Lodge,,,,,,,,,,,,,,,,,1,,1,Yes
Wenatchee – Mission Ridge,,,,,,,,1,,,,3,,,,,2,1,7,No
Mount Baker,,,,,,,,,7,,,,,,,,2,,9,No
Mount Spokane,,,,,,,,,,1,,5,,,,,1,1,8,No
Sitzmark Ski Mountain,,,,,,,,,,,,1,,,,,1,,2,No
Stevens Pass,,,,,,,,4,2,3,,1,,,,,,2,12,No
The Summit at Snoqualmie: Alpental,,,,,,,,1,,3,,1,,,,,,1,6,No
The Summit at Snoqualmie: Summit Areas,0,,,,,,,2,5,3,,5,,,,,,4,19,No
White Pass,,,,,,,,2,2,1,,,,,,,,3,8,No
Canaan Valley,,,,,,,,,1,2,,,,,,,,3,6,No
Oglebay Resort,,,,,,,,,,1,,,,,,,1,,2,No
Snowshoe Mountain,,,,,,,,3,1,3,,,,,,,,,7,No
Timberline Mountain (West Virginia),,,,,,1,,,1,,,,,,,,,2,4,No
Winterplace,,,,,,,,,2,3,,2,,,,,,2,9,No
Alpine Valley (Wisconsin),,,,,,,,3,,4,,,,,,,2,6,15,No
Ausblick Ski Club,,,,,,,,,,1,,,,,,,1,,2,No
Bruce Mound,,,,,,,,,,1,,,,2,,,3,,6,No
Camp 10,,,,,,,,,,,,1,,2,,,1,,4,No
Cascade Mountain,,,,,,,,2,3,1,,2,,,,,1,1,10,No
Christie Mountain,,,,,,,,,,,,1,,1,,,3,,5,No
Christmas Mountain,,,,,,,,,1,,,,,,,,1,,2,No
Crystal Ridge,,,,,,,,,,,,1,,,,,2,2,5,No
Devil’s Head,,,,,,,,,6,,,,,,,,2,,8,No
Grand Geneva,0,,,,,,,,,,,3,,,,,1,2,6,No
Granite Peak,,,,,,1,,2,,2,,,,,,,,2,7,No
Kettlebowl,,,,,,,,,,,,,,,,,5,,5,Yes
Keyes Peak,,,,,,,,,,,,,,,,,3,,3,Yes
Little Switzerland,,,,,,,,,,,,4,,,,,3,2,9,No
Mont du Lac,,,,,,,,,,,,1,,,,,1,1,3,No
Mount Ashwabay,,,,,,,,,,,,1,,,,,1,,2,No
Mount La Crosse,,,,,,,,,,,,3,,,,,,1,4,No
Nordic Mountain,,,,,,,,,,1,,1,,,,,2,2,6,No
Paul Bunyan Ski Hill,,,,,,,,,,,,,,1,,,5,,6,Yes
Powers Bluff,,,,,,,,,,,,,,,,,1,,1,Yes
Standing Rocks Park,,,,,,,,,,,,,,,,,1,,1,Yes
Sunburst,,,,,,,,,,,,3,,,,,4,2,9,No
Triangle Sports Area – Green Bay,,,,,,,,,,,,,,,,,3,,3,Yes
Trollhaugen,,,,,,,,,4,,,,,,,,5,,9,No
Tyrol Basin,,,,,,,,,,3,,,,,,,2,2,7,No
Whitecap Mountains,,,,,,,,,,1,,4,,,,,,1,6,No
Whitetail Ridge – Fort McCoy,,,,,,,,,,,,,,1,,,,,1,Yes
Wilmot Mountain,,,,,,,,,3,1,,2,,,,,2,2,10,No
Winter Park (Kewaunee),,,,,,,,,,,,,,1,,,,,1,Yes
Antelope Butte,,,,,,,,,,,,2,,,,,,1,3,No
Beartooth Basin,,,,,,,,,,,,,,,,2,,,2,Yes
Grand Targhee,,,,,,1,,2,2,,,,,,,,,1,6,No
Hogadon Ski Area,,,,,,,,,,,,1,,,,,,1,2,No
Jackson Hole,1,2,,,,,,6,3,,,1,,,,,1,2,16,No
Meadowlark Ski Lodge,,,,,,,,,,1,,1,,,,,,,2,No
Pine Creek,,,,,,,,,1,,,,,,,,,1,2,No
Sleeping Giant,,,,,,,,,,1,,1,,,,,,1,3,No
Snow King,,1,,,,,,,1,2,,,,,,,2,3,9,No
Snowy Range,,,,,,,,,,1,,3,,,,,,1,5,No
White Pine,,,,,,,,,,2,,,,,,,,,2,No
Big Moose,,,,,,,,,,1,,,,,,,,1,2,No
Timberline Summit Pass,,,,,,,,,,,,1,,,,,,1,2,No
