name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,num_lifts
Powder Mountain,https://www.skiresort.info/ski-resort/powder-mountain/,219.0,6893,8901,2008,42,Utah,11
Bretton Woods,https://www.skiresort.info/ski-resort/bretton-woods/,129.0,1601,3100,1499,35,New Hampshire,8
Mt. Rose,https://www.skiresort.info/ski-resort/mt-rose/,179.0,7897,9701,1804,37,,8
49 Degrees North Mountain Resort,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,84.0,3924,5774,1850,42,Washington,7
Smugglers' Notch,https://www.skiresort.info/ski-resort/smugglers-notch/,119.0,1030,3648,2618,48,Vermont,8
Alyeska Resort – Girdwood,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,169.0,269,2756,2487,39,Alaska,7
Loveland,https://www.skiresort.info/ski-resort/loveland/,149.0,10646,12700,2054,58,Colorado,10
Gore Mountain,https://www.skiresort.info/ski-resort/gore-mountain/,109.0,997,3599,2602,36,New York,14
Kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,187.0,7799,9800,2001,40,,13
Bogus Basin,https://www.skiresort.info/ski-resort/bogus-basin/,79.0,5797,7582,1785,31,Idaho,7
Bridger Bowl – Bozeman,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,97.0,6102,8799,2697,44,Montana,11
Hunter Mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,119.0,1598,3199,1601,34,New York,12
Crystal Mountain (WA),https://www.skiresort.info/ski-resort/crystal-mountain-wa/,199.0,4400,7011,2612,31,Washington,11
Loon Mountain,https://www.skiresort.info/ski-resort/loon-mountain/,145.0,860,3051,2192,30,New Hampshire,13
Tamarack Resort,https://www.skiresort.info/ski-resort/tamarack-resort/,140.0,4888,7700,2812,26,Idaho,7
Apache,https://www.skiresort.info/ski-resort/apache/,195.0,9600,11401,1801,34,New Mexico,11
Stevens Pass,https://www.skiresort.info/ski-resort/stevens-pass/,119.0,3839,5741,1903,24,Washington,10
Timberline,https://www.skiresort.info/ski-resort/timberline/,149.0,4849,8540,3691,19,Oregon,9
Arizona Snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,127.0,9199,11499,2300,23,Arizona,6
Windham Mountain,https://www.skiresort.info/ski-resort/windham-mountain/,225.0,1503,3100,1598,29,New York,8
Mt. Hood Skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,89.0,3675,4954,1280,40,Oregon,9
Holiday Valley,https://www.skiresort.info/ski-resort/holiday-valley/,105.0,1499,2247,748,30,New York,13
Cannon Mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,134.0,1965,4078,2113,31,New Hampshire,11
Attitash Mountain Resort,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,144.0,600,2349,1749,23,New Hampshire,8
Discovery Ski Area,https://www.skiresort.info/ski-resort/discovery-ski-area/,65.0,5768,8150,2382,28,Montana,7
Brian Head,https://www.skiresort.info/ski-resort/brian-head/,97.0,9600,10919,1319,28,Utah,11
Lutsen Mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,105.0,863,1690,827,25,Minnesota,7
Wenatchee – Mission Ridge,https://www.skiresort.info/ski-resort/wenatchee-mission-ridge/,119.0,4567,6818,2251,22,Washington,4
Bromley Mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,96.0,1949,3284,1335,28,Vermont,7
Eldora Mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,199.0,9199,10801,1601,32,Colorado,10
Powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,119.0,8199,9843,1644,24,Colorado,3
Cranmore Mountain Resort,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,119.0,876,1998,1122,27,New Hampshire,6
Pico Mountain,https://www.skiresort.info/ski-resort/pico-mountain/,124.0,2001,3967,1965,19,Vermont,7
Brundage Mountain,https://www.skiresort.info/ski-resort/brundage-mountain/,125.0,5840,7638,1798,19,Idaho,5
White Pass,https://www.skiresort.info/ski-resort/white-pass/,75.0,4498,6516,2018,19,Washington,6
Lost Trail Powder Mountain,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,,6430,8366,1936,31,Montana,8
Mad River Glen,https://www.skiresort.info/ski-resort/mad-river-glen/,99.0,1598,3635,2037,29,Vermont,4
Donner Ski Ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,99.0,7028,7779,751,32,,6
Sundance,https://www.skiresort.info/ski-resort/sundance/,159.0,6070,8251,2182,27,Utah,7
Gunstock,https://www.skiresort.info/ski-resort/gunstock/,109.0,866,2264,1398,25,New Hampshire,6
Big Snow American Dream (indoor ski area),https://www.skiresort.info/ski-resort/big-snow-american-dream/,,328,446,118,0,New Jersey,4
China Peak,https://www.skiresort.info/ski-resort/china-peak/,169.0,7044,8629,1585,31,California,10
Great Divide,https://www.skiresort.info/ski-resort/great-divide/,68.0,5748,7251,1503,31,Montana,6
Dodge Ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,109.0,6598,8199,1601,31,California,9
Bear Mountain – Big Bear Lake,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,169.0,7139,8806,1667,17,California,7
Mt. Sunapee,https://www.skiresort.info/ski-resort/mt-sunapee/,119.0,1263,2717,1453,19,New Hampshire,8
Silver Mountain,https://www.skiresort.info/ski-resort/silver-mountain/,77.0,2300,4101,6299,16,Idaho,6
Lookout Pass,https://www.skiresort.info/ski-resort/lookout-pass/,73.0,4501,6152,1650,25,Idaho,5
Santa Fé,https://www.skiresort.info/ski-resort/santa-fe/,105.0,10348,12070,1722,21,New Mexico,5
Waterville Valley,https://www.skiresort.info/ski-resort/waterville-valley/,139.0,1985,4003,2018,16,New Hampshire,9
Ragged Mountain,https://www.skiresort.info/ski-resort/ragged-mountain/,119.0,1115,2231,1115,14,New Hampshire,4
Terry Peak,https://www.skiresort.info/ski-resort/terry-peak/,,5906,6988,1083,10,South Dakota,4
Camelback,https://www.skiresort.info/ski-resort/camelback/,99.0,1247,2044,797,21,Pennsylvania,9
Blue Mountain,https://www.skiresort.info/ski-resort/blue-mountain/,99.0,459,1542,1083,11,Pennsylvania,5
Beaver Mountain,https://www.skiresort.info/ski-resort/beaver-mountain/,70.0,7201,8858,1657,19,Utah,4
Wildcat Mountain,https://www.skiresort.info/ski-resort/wildcat-mountain/,144.0,1949,4062,2113,16,New Hampshire,5
Snow Valley,https://www.skiresort.info/ski-resort/snow-valley/,169.0,6726,7841,1115,21,California,9
Granite Peak at Rib Mountain State Park,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,105.0,1247,1949,702,12,Wisconsin,5
Snowshoe Mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,169.0,3281,4849,1568,19,Virginia,14
