name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
Bald Mountain,https://www.skiresort.info/ski-resort/bald-mountain/,25.0,3999.0,4800.0,801.0,6.0,Idaho,140.0,100.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes
Bear Creek Mountain Resort,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,85.0,591.0,1099.0,509.0,6.0,Pennsylvania,86.0,30.0,Independent,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,5,No
Bear Paw Ski Bowl,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,4199.0,5279.0,1079.0,6.0,Montana,80.0,140.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No
Bear Valley,https://www.skiresort.info/ski-resort/bear-valley/,169.0,6598.0,8497.0,1900.0,42.0,California,1680.0,359.0,Independent,0,0,0,0,0,1,0,1,1,2,0,2,0,0,0,0,0,2,9,No
Beartooth Basin,https://www.skiresort.info/ski-resort/beartooth-basin/,50.0,9898.0,10899.0,1001.0,3.0,Wyoming,600.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,Yes
Beartown,https://www.skiresort.info/ski-resort/beartown/,24.0,863.0,997.0,135.0,0.5,New York,32.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,Yes
Beaver Creek,https://www.skiresort.info/ski-resort/beaver-creek/,329.0,7398.0,11444.0,4045.0,93.0,Colorado,2082.0,325.0,Vail Resorts,0,2,0,0,0,0,1,12,1,1,0,1,0,0,0,0,0,7,25,No
Beaver Mountain,https://www.skiresort.info/ski-resort/beaver-mountain/,70.0,7201.0,8858.0,1657.0,19.0,Utah,880.0,400.0,Independent,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,6,No
Beech Mountain,https://www.skiresort.info/ski-resort/beech-mountain/,79.0,4672.0,5505.0,833.0,9.0,North Carolina,95.0,84.0,Independent,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,2,9,No
Belleayre Mountain,https://www.skiresort.info/ski-resort/belleayre-mountain/,114.0,2024.0,3428.0,1404.0,12.0,New York,171.0,141.0,New York State,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,9,No
Berkshire East,https://www.skiresort.info/ski-resort/berkshire-east/,99.0,659.0,1841.0,1181.0,8.0,Massachusetts,180.0,120.0,The Schaefer Family,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,6,No
Big Bear at Masthope Mountain,https://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,78.0,722.0,1286.0,564.0,4.0,Pennsylvania,26.0,50.0,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,7,No
Big Bear: Bear Mountain,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,169.0,7139.0,8806.0,1667.0,17.0,California,198.0,100.0,Alterra,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,0,0,4,11,No
Big Bear: Snow Summit,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,169.0,6988.0,8202.0,1214.0,18.0,California,240.0,100.0,Alterra,0,0,0,0,0,0,0,2,2,2,0,4,0,0,0,0,0,5,15,No
Big Bear: Snow Valley,https://www.skiresort.info/ski-resort/snow-valley/,169.0,6726.0,7841.0,1115.0,21.0,California,240.0,160.0,Alterra,0,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,2,11,No
Big Boulder,https://www.skiresort.info/ski-resort/big-boulder/,105.0,1699.0,2175.0,476.0,3.0,Pennsylvania,55.0,50.0,Vail Resorts,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,5,No
Big Moose,https://www.skiresort.info/ski-resort/big-squaw/,40.0,1325.0,1896.0,571.0,5.0,Maine,,136.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,No
Big Powderhorn Mountain,https://www.skiresort.info/ski-resort/big-powderhorn-mountain/,89.0,1148.0,1772.0,623.0,6.0,Michigan,253.0,214.0,Independent,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,10,No
Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,275.0,6801.0,11165.0,4364.0,155.0,Montana,5800.0,400.0,Boyne Resorts,1,2,0,0,2,2,0,4,3,9,0,4,0,0,0,3,1,8,39,No
BigRock Mountain,https://www.skiresort.info/ski-resort/bigrock-mountain/,60.0,656.0,1634.0,978.0,12.0,Maine,90.0,100.0,Independent,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,4,No
Bittersweet,https://www.skiresort.info/ski-resort/bittersweet/,72.0,715.0,1063.0,348.0,4.0,Michigan,100.0,90.0,Wisconsin Resorts,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,2,3,11,No
Black Mountain – Jackson,https://www.skiresort.info/ski-resort/black-mountain-jackson/,99.0,1234.0,2247.0,1014.0,7.0,New Hampshire,143.0,125.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,5,No
Black Mountain – Rumford,https://www.skiresort.info/ski-resort/black-mountain-rumford/,60.0,1001.0,2100.0,1099.0,9.0,Maine,300.0,120.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,4,No
Blacktail Mountain,https://www.skiresort.info/ski-resort/blacktail-mountain/,80.0,5338.0,6778.0,1440.0,11.0,Montana,1000.0,250.0,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,No
Blue Hills,https://www.skiresort.info/ski-resort/blue-hills/,75.0,262.0,591.0,328.0,2.0,Massachusetts,60.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,No
Blue Knob,https://www.skiresort.info/ski-resort/blue-knob/,90.0,2080.0,3150.0,1070.0,10.0,Pennsylvania,100.0,120.0,Independent,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,5,No
Blue Mountain,https://www.skiresort.info/ski-resort/blue-mountain/,99.0,459.0,1542.0,1083.0,11.0,Pennsylvania,164.0,33.0,Independent,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,7,12,No
Bluewood,https://www.skiresort.info/ski-resort/bluewood/,65.0,4544.0,5669.0,1125.0,7.0,Washington,355.0,300.0,Independent,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,4,No
Bogus Basin,https://www.skiresort.info/ski-resort/bogus-basin/,79.0,5797.0,7582.0,1785.0,31.0,Idaho,2600.0,250.0,Independent,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,3,10,No
Bolton Valley,https://www.skiresort.info/ski-resort/bolton-valley/,119.0,1447.0,3150.0,1703.0,19.0,Vermont,300.0,300.0,Independent,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,6,No
Boreal,https://www.skiresort.info/ski-resort/boreal/,119.0,7201.0,7733.0,531.0,12.0,California,380.0,400.0,Powdr,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,2,8,No
Boston Mills,https://www.skiresort.info/ski-resort/boston-mills/,88.0,656.0,886.0,230.0,1.0,Ohio,40.0,54.0,Vail Resorts,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,7,No
Bottineau Winter Park,https://www.skiresort.info/ski-resort/bottineau-winter-park/,45.0,2274.0,2448.0,174.0,1.0,North Dakota,40.0,18.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,6,No
Bousquet,https://www.skiresort.info/ski-resort/bousquet/,80.0,1109.0,1857.0,748.0,5.0,Massachusetts,200.0,83.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,No
Boyce Park,https://www.skiresort.info/ski-resort/boyce-park/,25.0,1115.0,1247.0,131.0,1.0,Pennsylvania,25.0,36.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No
Boyne Mountain,https://www.skiresort.info/ski-resort/boyne-mountain/,110.0,620.0,1119.0,499.0,9.0,Michigan,435.0,140.0,Boyne Resorts,0,0,0,0,1,1,0,0,4,1,0,2,0,0,0,0,0,1,10,No
Bradford,https://www.skiresort.info/ski-resort/bradford/,69.0,33.0,262.0,230.0,2.0,Massachusetts,48.0,,Independent,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,3,10,No
Brandywine,https://www.skiresort.info/ski-resort/brandywine/,88.0,623.0,886.0,262.0,1.0,Ohio,40.0,54.0,Vail Resorts,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,7,No
Brantling,https://www.skiresort.info/ski-resort/brantling/,34.0,459.0,689.0,230.0,1.0,New York,36.0,100.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Yes
