name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
Dartmouth Skiway,https://www.skiresort.info/ski-resort/dartmouth-skiway/,65.0,974.0,1942.0,968.0,10.0,New Hampshire,104.0,100.0,Independent,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,No
Deer Valley,https://www.skiresort.info/ski-resort/deer-valley/,299.0,6509.0,9570.0,3061.0,66.0,Utah,2026.0,300.0,Alterra,0,2,0,0,0,2,0,20,1,5,0,1,0,0,0,1,0,5,37,No
Detroit Mountain,https://www.skiresort.info/ski-resort/detroit-mountain/,52.0,1444.0,1608.0,164.0,1.0,Minnesota,45.0,47.0,Independent,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,6,No
Devil’s Head,https://www.skiresort.info/ski-resort/devils-head/,95.0,492.0,994.0,502.0,6.0,Wisconsin,300.0,70.0,Independent,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,8,No
Diamond Peak,https://www.skiresort.info/ski-resort/diamond-peak/,180.0,6699.0,8537.0,1837.0,10.0,Nevada,655.0,188.0,Independent,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,7,No
Discovery Ski Area,https://www.skiresort.info/ski-resort/discovery-ski-area/,65.0,5768.0,8150.0,2382.0,28.0,Montana,2200.0,215.0,Independent,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,8,No
Dodge Ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,109.0,6598.0,8199.0,1601.0,31.0,California,862.0,300.0,California Mountain Resort Company,0,0,0,0,0,0,0,0,1,3,0,3,0,1,0,0,1,2,11,No
Donner Ski Ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,99.0,7028.0,7779.0,751.0,32.0,California,460.0,396.0,Independent,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,7,No
Dry Hill,https://www.skiresort.info/ski-resort/dry-hill/,50.0,712.0,984.0,272.0,1.0,New York,42.0,125.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,No
Dynamite Hill,https://www.skiresort.info/ski-resort/dynamite-hill-chestertown/,0.0,830.0,922.0,92.0,0.1,New York,8.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Eagle Point,https://www.skiresort.info/ski-resort/eagle-point/,90.0,9098.0,10597.0,1499.0,12.0,Utah,650.0,400.0,Independent,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,5,No
Eaglecrest,https://www.skiresort.info/ski-resort/eaglecrest-juneau/,75.0,1148.0,2690.0,1542.0,11.0,Alaska,640.0,350.0,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,No
Echo Mountain – Idaho Springs,https://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,79.0,10499.0,11158.0,659.0,2.0,Colorado,60.0,150.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,No
Echo Valley – Lake Chelan,https://www.skiresort.info/ski-resort/echo-valley-lake-chelan/,40.0,2618.0,3110.0,492.0,1.0,Washington,70.0,100.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,Yes
Eldora Mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,199.0,9199.0,10801.0,1601.0,32.0,Colorado,680.0,300.0,Powdr,0,0,0,0,0,1,0,0,2,1,0,3,0,0,0,1,1,1,10,No
Elk Mountain,https://www.skiresort.info/ski-resort/elk-mountain/,89.0,1706.0,2690.0,984.0,9.0,Pennsylvania,140.0,65.0,Independent,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,6,No
Elko Snowbowl,https://www.skiresort.info/ski-resort/elko-snobowl/,20.0,6339.0,6988.0,650.0,2.0,Nevada,60.0,24.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No
Ferguson Ridge,https://www.skiresort.info/ski-resort/ferguson-ridge/,20.0,5200.0,5840.0,640.0,3.0,Oregon,170.0,300.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes
Fort Wainwright – Birch Hill,https://www.skiresort.info/ski-resort/fort-wainwrightbirch-hill-fairbanks/,30.0,459.0,984.0,525.0,3.0,Alaska,,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No
Four Lakes,https://www.skiresort.info/ski-resort/four-lakes/,30.0,656.0,722.0,66.0,1.0,Illinois,9.0,24.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,Yes
Four Seasons,https://www.skiresort.info/ski-resort/four-seasons/,30.0,525.0,607.0,82.0,0.5,New York,25.0,125.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No
Frisco Adventure Park,https://www.skiresort.info/ski-resort/frisco-adventure-park/,55.0,9085.0,9163.0,79.0,0.1,Colorado,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Yes
Frost Fire Park,https://www.skiresort.info/ski-resort/frost-fire-park/,50.0,1083.0,1444.0,361.0,1.0,North Dakota,30.0,35.0,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,No
Giants Ridge,https://www.skiresort.info/ski-resort/giants-ridge/,64.0,1444.0,1837.0,394.0,7.0,Minnesota,165.0,62.0,Independent,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,2,7,No
Gore Mountain,https://www.skiresort.info/ski-resort/gore-mountain/,109.0,997.0,3599.0,2602.0,36.0,New York,439.0,150.0,New York State,0,1,0,0,0,0,0,3,6,1,0,0,0,0,1,0,0,2,14,No
Granby Ranch,https://www.skiresort.info/ski-resort/granby-ranch/,164.0,8199.0,9199.0,1001.0,12.0,Colorado,406.0,120.0,Independent,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,6,No
Grand Geneva,https://www.skiresort.info/ski-resort/grand-geneva/,70.0,787.0,997.0,210.0,1.0,Wisconsin,20.0,46.0,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,6,No
Grand Targhee,https://www.skiresort.info/ski-resort/grand-targhee/,170.0,7651.0,9862.0,2211.0,35.0,Wyoming,2602.0,500.0,Independent,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,6,No
Granite Gorge,https://www.skiresort.info/ski-resort/granite-gorge/,55.0,801.0,1325.0,525.0,4.0,New Hampshire,25.0,100.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,No
Granite Peak,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,105.0,1247.0,1949.0,702.0,12.0,Wisconsin,155.0,75.0,Midwest Family Ski Resorts,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,2,7,No
Granlibakken,https://www.skiresort.info/ski-resort/granlibakken/,45.0,6312.0,6611.0,299.0,1.0,California,25.0,170.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Yes
Great Bear Ski Valley,https://www.skiresort.info/ski-resort/great-bear-ski-valley/,35.0,1345.0,1542.0,197.0,2.0,South Dakota,20.0,49.0,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,No
Great Divide,https://www.skiresort.info/ski-resort/great-divide/,68.0,5748.0,7251.0,1503.0,31.0,Montana,1600.0,180.0,Independent,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,6,No
Greek Peak,https://www.skiresort.info/ski-resort/greek-peak/,115.0,1148.0,2100.0,951.0,12.0,New York,220.0,122.0,Independent,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,2,8,No
Gunstock,https://www.skiresort.info/ski-resort/gunstock/,109.0,866.0,2264.0,1398.0,25.0,New Hampshire,227.0,120.0,Independent,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,8,No
Hanson Hills,https://www.skiresort.info/ski-resort/hanson-hills/,30.0,1148.0,1280.0,131.0,1.0,Michigan,125.0,60.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,Yes
Hard’ack (Aldis Hill),https://www.skiresort.info/ski-resort/hardack-aldis-hill-st-albans/,0.0,623.0,755.0,131.0,0.1,Vermont,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Hatley Pointe,https://www.skiresort.info/ski-resort/wolf-ridge/,88.0,3999.0,4698.0,699.0,4.0,North Carolina,72.0,65.0,Independent,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,5,No
Heavenly,https://www.skiresort.info/ski-resort/heavenly/,265.0,6257.0,6565.0,10039.0,58.0,California,4800.0,360.0,Vail Resorts,1,1,0,0,0,2,0,8,1,5,0,2,0,0,0,0,2,4,26,No
Hermon Mountain,https://www.skiresort.info/ski-resort/hermon-mountain/,55.0,164.0,459.0,295.0,2.0,Maine,60.0,90.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,No
Hesperus Ski Area,https://www.skiresort.info/ski-resort/hesperus-ski-area/,48.0,8278.0,8878.0,600.0,6.0,Colorado,60.0,150.0,Mountain Capital Partners,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No
Hiawatha – Rock River Township,https://www.skiresort.info/ski-resort/hiawatha-rock-river-township/,5.0,850.0,938.0,89.0,0.3,Michigan,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Hidden Valley (Missouri),https://www.skiresort.info/ski-resort/hidden-valley-mo/,52.0,492.0,787.0,295.0,2.0,Missouri,65.0,19.0,Vail Resorts,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,7,No
Hidden Valley (Pennsylvania),https://www.skiresort.info/ski-resort/hidden-valley-pa/,76.0,2395.0,2920.0,525.0,6.0,Pennsylvania,110.0,140.0,Vail Resorts,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,8,No
Hillberg,https://www.skiresort.info/ski-resort/hillberg/,28.0,131.0,394.0,262.0,1.0,Alaska,,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,No
Hilltop,https://www.skiresort.info/ski-resort/hilltop-anchorage/,39.0,492.0,787.0,295.0,3.0,Alaska,30.0,76.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,No
Hoedown Hill,https://www.skiresort.info/ski-resort/hoedown-hill-windsor/,51.0,4839.0,4970.0,131.0,1.0,Colorado,12.0,24.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,Yes
Hogadon Ski Area,https://www.skiresort.info/ski-resort/hogadon-ski-area/,60.0,7398.0,7999.0,600.0,3.0,Wyoming,60.0,140.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,No
Holiday Mountain (New York),https://www.skiresort.info/ski-resort/holiday-mountain-ny/,75.0,1050.0,1444.0,394.0,2.0,New York,37.0,90.0,Independent,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,No
Holiday Valley,https://www.skiresort.info/ski-resort/holiday-valley/,105.0,1499.0,2247.0,748.0,30.0,New York,290.0,180.0,Independent,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,0,0,2,13,No
Holimont,https://www.skiresort.info/ski-resort/holimont/,114.0,1558.0,2260.0,702.0,12.0,New York,135.0,180.0,Independent,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,2,8,No
Homewood Mountain Resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,159.0,6230.0,7881.0,1650.0,12.0,California,1260.0,450.0,JMA Ventures,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,6,No
Hoodoo Ski Area,https://www.skiresort.info/ski-resort/hoodoo-ski-area/,85.0,4692.0,5709.0,1017.0,11.0,Oregon,806.0,350.0,Independent,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,6,No
Howelsen Hill,https://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,49.0,6693.0,7136.0,443.0,2.0,Colorado,50.0,170.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,No
Huff Hills,https://www.skiresort.info/ski-resort/huff-hills/,39.0,1870.0,2231.0,361.0,2.0,North Dakota,80.0,40.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,No
Hunt Hollow Ski Club,https://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,70.0,1132.0,2008.0,876.0,3.0,New York,80.0,130.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,4,No
Hunter Mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,119.0,1598.0,3199.0,1601.0,34.0,New York,320.0,120.0,Vail Resorts,0,0,0,0,0,3,0,1,2,1,0,2,0,0,0,1,0,3,13,No
Hurricane Ridge,https://www.skiresort.info/ski-resort/hurricane-ridge/,57.0,4800.0,5499.0,699.0,1.0,Washington,250.0,400.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,Yes
Hyland Hills,https://www.skiresort.info/ski-resort/hyland-hills/,44.0,853.0,1017.0,164.0,1.0,Minnesota,35.0,60.0,Independent,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,8,No
Jack Frost Mountain,https://www.skiresort.info/ski-resort/jack-frost-mountain/,105.0,1401.0,2001.0,600.0,7.0,Pennsylvania,100.0,50.0,Vail Resorts,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,6,No
Jackson Hole,https://www.skiresort.info/ski-resort/jackson-hole/,269.0,6312.0,10449.0,4137.0,72.0,Wyoming,2500.0,459.0,Independent,1,2,0,0,0,0,0,6,3,0,0,1,0,0,0,0,1,2,16,No
Jay Peak,https://www.skiresort.info/ski-resort/jay-peak/,129.0,1847.0,3855.0,2008.0,47.0,Vermont,385.0,349.0,Pacific Group Resorts,1,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,2,9,No
Jiminy Peak,https://www.skiresort.info/ski-resort/jiminy-peak/,109.0,1247.0,2375.0,1129.0,6.0,Massachusetts,170.0,100.0,Independent,0,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,0,2,9,No
John & Melissa Besse Sports Park – Gladstone,https://www.skiresort.info/ski-resort/john-melissa-besse-sports-park-gladstone/,12.0,643.0,748.0,105.0,0.4,Michigan,25.0,50.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes
June Mountain,https://www.skiresort.info/ski-resort/june-mountain/,199.0,7507.0,10089.0,2582.0,25.0,California,1500.0,250.0,Alterra,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,7,No
Kelly Canyon,https://www.skiresort.info/ski-resort/kelly-canyon/,79.0,5807.0,6660.0,853.0,7.0,Idaho,640.0,200.0,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,No
Kendall Mountain,https://www.skiresort.info/ski-resort/kendall-mountain-silverton/,26.0,9318.0,9843.0,525.0,1.0,Colorado,16.0,200.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No
Kettlebowl,https://www.skiresort.info/ski-resort/kettlebowl/,10.0,1617.0,1778.0,161.0,1.0,Wisconsin,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,Yes
Keyes Peak,https://www.skiresort.info/ski-resort/keyes-peak/,15.0,1312.0,1476.0,164.0,0.3,Wisconsin,15.0,60.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,Yes
Keystone,https://www.skiresort.info/ski-resort/keystone/,292.0,9301.0,12280.0,2979.0,84.0,Colorado,3149.0,235.0,Vail Resorts,0,2,0,0,0,4,0,3,1,1,0,2,0,0,0,0,0,7,20,No
Killington,https://www.skiresort.info/ski-resort/killington/,199.0,1165.0,4242.0,3077.0,73.0,Vermont,1509.0,250.0,Powdr,0,2,0,0,0,2,0,4,5,2,0,1,0,0,0,1,0,3,20,No
King Pine,https://www.skiresort.info/ski-resort/king-pine-purity-spring-resort/,82.0,476.0,787.0,312.0,3.0,New Hampshire,45.0,82.0,Independent,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,5,No
Kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,187.0,7799.0,9800.0,2001.0,40.0,California,2300.0,354.0,Vail Resorts,0,0,0,0,0,0,0,2,1,6,0,1,0,1,0,0,0,2,13,No
Kissing Bridge,https://www.skiresort.info/ski-resort/kissing-bridge/,88.0,1240.0,1706.0,466.0,11.0,New York,,182.0,Independent,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,2,1,9,No
Labrador Mountain,https://www.skiresort.info/ski-resort/labrador-mountain/,74.0,1181.0,1870.0,689.0,11.0,New York,250.0,125.0,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2,0,6,No
Lake City Ski Hill,https://www.skiresort.info/ski-resort/lake-city-ski-hill/,30.0,8868.0,9091.0,223.0,1.0,Colorado,14.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Yes
Las Vegas Ski and Snowboard Resort – Lee Canyon,https://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,84.0,8694.0,9370.0,676.0,5.0,Nevada,195.0,129.0,Mountain Capital Partners,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,5,No
Laurel Mountain,https://www.skiresort.info/ski-resort/laurel-mountain/,66.0,1998.0,2759.0,761.0,5.0,Pennsylvania,70.0,41.0,Vail Resorts,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,No
Leavenworth Ski Hill,https://www.skiresort.info/ski-resort/leavenworth-ski-hill/,26.0,1476.0,1706.0,230.0,1.0,Washington,17.0,150.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes
Lee’s Ski Hill,https://www.skiresort.info/ski-resort/lees-ski-hill-ouray/,0.0,7887.0,7959.0,72.0,0.1,Colorado,2.0,134.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Liberty Mountain,https://www.skiresort.info/ski-resort/liberty-mountain/,84.0,591.0,1165.0,574.0,6.0,Pennsylvania,100.0,31.0,Vail Resorts,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,7,No
Little Ski Hill,https://www.skiresort.info/ski-resort/little-ski-hill/,25.0,5184.0,5577.0,394.0,1.0,Idaho,50.0,180.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Yes
Little Switzerland,https://www.skiresort.info/ski-resort/little-switzerland/,80.0,1083.0,1247.0,164.0,2.0,Wisconsin,50.0,45.0,Schmitz Brothers,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,2,9,No
Living Memorial Park – Brattleboro,https://www.skiresort.info/ski-resort/living-memorial-park-brattleboro/,5.0,433.0,620.0,187.0,0.3,Vermont,8.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Yes
Lonesome Pine,https://www.skiresort.info/ski-resort/lonesome-pine-trails-fort-kent/,30.0,568.0,981.0,413.0,3.0,Maine,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes
Lookout Pass,https://www.skiresort.info/ski-resort/lookout-pass/,73.0,4501.0,6152.0,1650.0,25.0,Idaho,1023.0,400.0,Independent,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,5,No
Loon Mountain,https://www.skiresort.info/ski-resort/loon-mountain/,145.0,860.0,3051.0,2192.0,30.0,New Hampshire,400.0,160.0,Boyne Resorts,0,1,1,0,1,0,0,3,2,0,0,4,0,0,0,0,0,2,14,No
Lost Trail Powder Mountain,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,68.0,6430.0,8366.0,1936.0,31.0,Montana,1800.0,325.0,Independent,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,6,No
Lost Valley,https://www.skiresort.info/ski-resort/lost-valley/,66.0,256.0,545.0,289.0,1.0,Maine,45.0,99.0,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,No
Loup Loup Ski Bowl,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,70.0,4068.0,5315.0,1247.0,7.0,Washington,550.0,150.0,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,No
Loveland,https://www.skiresort.info/ski-resort/loveland/,149.0,10646.0,12700.0,2054.0,58.0,Colorado,1800.0,422.0,Independent,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,7,No
Lutsen Mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,105.0,863.0,1690.0,827.0,25.0,Minnesota,393.0,120.0,Midwest Family Ski Resorts,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,7,No
Lyndon Outing Club,https://www.skiresort.info/ski-resort/lyndon-outing-club/,15.0,853.0,1247.0,394.0,2.0,Vermont,18.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes
Mad River Glen,https://www.skiresort.info/ski-resort/mad-river-glen/,99.0,1598.0,3635.0,2037.0,29.0,Vermont,115.0,250.0,Independent,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,5,No
Mad River Mountain,https://www.skiresort.info/ski-resort/mad-river-mountain/,59.0,1158.0,1460.0,302.0,4.0,Ohio,144.0,36.0,Independent,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,3,1,9,No
Magic Mountain (Idaho),https://www.skiresort.info/ski-resort/magic-mountain-resort/,40.0,6499.0,7241.0,741.0,7.0,Idaho,120.0,230.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,No
Magic Mountain (Vermont),https://www.skiresort.info/ski-resort/magic-mountain/,89.0,1148.0,2848.0,1699.0,14.0,Vermont,205.0,150.0,Independent,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,5,No
Mammoth Mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,259.0,7953.0,11053.0,3100.0,56.0,California,3500.0,400.0,Alterra,0,2,0,0,0,4,0,8,1,6,0,3,0,0,0,1,0,2,27,No
Maple Ski Ridge,https://www.skiresort.info/ski-resort/maple-ski-ridge/,43.0,538.0,820.0,282.0,1.0,New York,60.0,60.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,4,No
Marquette Mountain,https://www.skiresort.info/ski-resort/marquette-mountain/,80.0,787.0,1280.0,492.0,6.0,Michigan,330.0,210.0,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,4,No
Massanutten,https://www.skiresort.info/ski-resort/massanutten/,95.0,1749.0,2858.0,1109.0,5.0,Virginia,70.0,35.0,Independent,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,7,No
Maverick Mountain,https://www.skiresort.info/ski-resort/maverick-mountain/,49.0,6496.0,8517.0,2021.0,12.0,Montana,255.0,250.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No
McCauley Mountain,https://www.skiresort.info/ski-resort/mccauly-mountain/,40.0,1772.0,2297.0,525.0,6.0,New York,75.0,180.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,5,No
McIntyre,https://www.skiresort.info/ski-resort/mcintyre/,57.0,351.0,509.0,157.0,2.0,New Hampshire,37.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,No
Meadowlark Ski Lodge,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,62.0,8481.0,9278.0,797.0,6.0,Wyoming,300.0,160.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,No
Meany Lodge,https://www.skiresort.info/ski-resort/meany-lodge/,60.0,2920.0,3346.0,427.0,1.0,Washington,100.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Middlebury College Snow Bowl,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,65.0,1821.0,2657.0,837.0,9.0,Vermont,110.0,200.0,Independent,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,4,No
Missaukee Mountain,https://www.skiresort.info/ski-resort/missaukee-mountain/,10.0,1253.0,1411.0,157.0,1.0,Michigan,25.0,90.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes
Mohawk Mountain,https://www.skiresort.info/ski-resort/mohawk-mountain/,81.0,919.0,1490.0,571.0,5.0,Connecticut,107.0,92.0,Independent,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,8,No
Monarch,https://www.skiresort.info/ski-resort/monarch/,139.0,10794.0,11909.0,1115.0,23.0,Colorado,800.0,350.0,Independent,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,7,No
Mont Ripley,https://www.skiresort.info/ski-resort/mont-ripley/,60.0,656.0,1083.0,427.0,4.0,Michigan,112.0,275.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,No
Mont du Lac,https://www.skiresort.info/ski-resort/mont-du-lac/,54.99,640.0,919.0,279.0,2.0,Wisconsin,20.0,55.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,No
Montage Mountain Resort,https://www.skiresort.info/ski-resort/montage-mountain-resort/,89.0,935.0,1949.0,1014.0,6.0,Pennsylvania,140.0,47.0,Independent,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,6,No
Montana Snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,79.0,4997.0,7598.0,2602.0,19.0,Montana,950.0,300.0,Independent,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,6,No
Moose Mountain,https://www.skiresort.info/ski-resort/moose-mountain/,55.0,679.0,1952.0,1273.0,16.0,Alaska,200.0,70.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Mount Abram,https://www.skiresort.info/ski-resort/mt-abram/,39.0,951.0,2001.0,1050.0,9.0,Maine,170.0,115.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,4,No
Mount Ashland,https://www.skiresort.info/ski-resort/mt-ashland/,79.0,6339.0,7500.0,1161.0,8.0,Oregon,240.0,300.0,Independent,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,6,No
Mount Ashwabay,https://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,35.0,1004.0,1276.0,272.0,2.0,Wisconsin,65.0,120.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No
